Date,Open,High,Low,Close,Volume,DailyReturn,Momentum_10_Pct,SMA_20,SMA_50,EMA_20,RollingMean_10,Price_to_SMA20,Price_to_SMA50,Price_to_EMA20,Price_to_RollingMean10,RSI_14,MACD,MACD_Signal,MACD_Diff,MACD_Norm,MACD_Signal_Norm,MACD_Diff_Norm,BB_High,BB_Low,BB_PctB,BB_Width,ATR_14,ATR_Pct,OBV,OBV_Zscore,ADX_14,Volatility_20,Dist_From_52w_High,Dist_From_52w_Low,VolumeChange,FutureReturn,Target,Sector,Ticker
2021-09-15,748.8455267127895,749.8475385002702,743.2150860077608,744.9805908203125,1393824,-0.0009598535345519688,-0.016875500794343967,742.1430847167969,710.076689453125,740.1838157819435,746.0876098632813,0.0038233949247110655,0.04915511505393755,0.006480518671299951,-0.00148376548321405,56.82265901164459,8.056594596592731,10.75242157832369,-2.695826981730958,0.010814502680830194,0.014433156663160836,-0.0036186539823306416,761.4669123176501,722.8192571159437,0.573419877317429,5.207574657446868,14.875468134517385,0.019967591528978923,79222064,0.9313390626318104,29.863428284429723,0.011293917073301143,-0.016875500794344,0.17735672955059997,-0.30198653475183845,0.03452254762955398,0,PHARMA,SUNPHARMA.NS
2021-09-16,744.3602928656031,748.7023829247174,742.7379575011148,745.3623046875,1353677,0.0005123809558140735,-0.009448271034454447,742.0934814453125,712.0356420898438,740.6770052015203,745.3766540527344,0.0044048672086718366,0.046804767384735824,0.006325698588016682,-1.925116000933702e-05,57.04675684217749,7.579983321381633,10.11793392693528,-2.5379506055536467,0.01016952866238602,0.013574517873126569,-0.0034049892107405485,761.3788687037674,722.8080941868576,0.5847487063230852,5.197562770904378,14.238965083737758,0.019103414533027097,80575741,0.9343418638559153,28.938670099448018,0.01125311904266951,-0.0163717665237567,0.17795998471702135,-0.028803493123952473,0.01786068737545054,0,PHARMA,SUNPHARMA.NS
2021-09-17,749.1319546898607,751.8994718337524,731.6204221048866,734.721923828125,4052622,-0.014275448050510287,-0.025381235076315067,741.5713439941406,713.9140844726562,740.1098545945302,743.4632751464844,-0.009236360360318607,0.02914613930167631,-0.007279906804317671,-0.011757610107422045,49.356665640278955,6.271383042090747,9.348623749966373,-3.0772407078756263,0.008535723297073989,0.012724029931293184,-0.0041883066342191955,761.0602429021561,722.0824450861252,0.3242738032983846,5.256108954547051,14.670399701246899,0.019967281804808067,76523119,0.8019425263114272,26.90575083397045,0.011695865675480647,-0.03041350027176198,0.16114407814961365,1.9937880306749691,0.054422511838656006,1,PHARMA,SUNPHARMA.NS
2021-09-20,731.6679745014887,739.3501424543604,717.2578883745165,721.9340209960938,2206369,-0.01740509220876707,-0.04167721619750053,741.4448974609375,715.4063732910156,738.3788228232506,740.3236022949219,-0.026314668199428293,0.009124391323283243,-0.022271497121597927,-0.024839923030715805,42.0245336916546,4.154540055565917,8.309807011086283,-4.155266955520366,0.005754736492170933,0.011510479862994635,-0.005755743370823702,761.4033217223622,721.4864731995127,0.011212002278307261,5.3836567841445655,15.20053215686097,0.02105529274806571,74316750,0.7181613419724607,26.237125260083303,0.01060810385118102,-0.04728924270390767,0.14093425840175577,-0.4555699988797376,0.07785872485567713,1,PHARMA,SUNPHARMA.NS
2021-09-21,721.9340776801499,731.3339891670048,716.7330868856639,729.5685424804688,2123997,0.010575095870729578,-0.025183229980568544,741.6906341552734,717.302626953125,737.5397485048904,738.4388488769531,-0.016343865105713173,0.01710005660992131,-0.010807832446428245,-0.012012242327140155,47.07904645351701,3.0577213092579996,7.259389870720627,-4.201668561462627,0.004191136447388503,0.009950250659162663,-0.00575911421177416,760.9239017237995,722.4573665867473,0.18486655656364884,5.186331519591393,15.157701451466682,0.020776254140470247,76440747,0.7466508951260766,25.65573699877647,0.010875021128915623,-0.03721423510842611,0.15299974756655413,-0.037333737013165114,0.03067383091010136,0,PHARMA,SUNPHARMA.NS
2021-09-22,730.0457712169892,738.6345449960127,729.5686171181546,734.9127197265625,1817865,0.007325120170236454,0.00025968450409563637,741.630990600586,719.2867272949219,737.2895552879069,738.4579284667968,-0.009058778501937814,0.021724288574608508,-0.0032237477722253383,-0.004800826971409156,50.342684589338205,2.589860689368834,6.325484034450269,-3.735623345081435,0.003524038460420767,0.008607122811541183,-0.005083084351120417,760.940414075614,722.321567125558,0.3260364717074049,5.207286027621599,14.72258009890077,0.020033100127017218,78258612,0.7674136317584243,24.346089079240517,0.010397532463657011,-0.030161713682402228,0.16144560927373153,-0.14413014707647898,0.03291771899066591,0,PHARMA,SUNPHARMA.NS
2021-09-23,735.8670185326434,741.6883334119408,731.0954776051944,734.6741333007812,2109768,-0.0003246459332885143,-0.009775554409319764,741.6691680908203,721.2536853027344,737.0404674796092,737.7326538085938,-0.009431475772473386,0.018607111854705982,-0.003210589218961002,-0.004145838593456186,50.19386006783229,2.1747566063236263,5.49533854882494,-3.320581942501314,0.002960164932652208,0.0074799673756515755,-0.004519802442999368,760.9203145600848,722.4180216215559,0.3183216048663111,5.191302887463983,14.42759979231831,0.01963809414045552,76148844,0.6846308484316995,22.827306749048972,0.010374775336494838,-0.030476567738002763,0.16106855067994497,0.16057463012930007,0.03916340260670084,0,PHARMA,SUNPHARMA.NS
2021-09-24,733.8628847553757,741.1633645797618,727.1827284572123,735.2466430664062,1777859,0.0007792703454152505,-0.007535747158369133,742.141552734375,722.9570227050781,736.8696270593042,737.1743835449219,-0.009290558711562258,0.01699910226384449,-0.002202538866169501,-0.0026150399709299332,50.571465047874334,1.8704193532602176,4.770354709711996,-2.8999353564517785,0.0025439345706625475,0.006488101312257397,-0.003944166741594849,760.241029348434,724.0420761203159,0.3095273743271404,4.877634609562738,14.395673815906253,0.019579380540750133,77926703,0.7063171092287317,21.774684270367125,0.01003700876473275,-0.029721046878055712,0.1619733369704842,-0.15732014136151462,0.04010640296370307,0,PHARMA,SUNPHARMA.NS
2021-09-27,736.2010878333527,739.111716254549,725.3696545905269,728.1848754882812,2862731,-0.009604624032927722,-0.022106769593181808,741.7240447998047,724.46296875,736.0425078620639,735.5282104492187,-0.01825364757479009,0.005137469958889973,-0.010675514375665829,-0.0099837570559701,45.944428918957676,1.0473312786364204,4.025750023496881,-2.978418744860461,0.00143827661613287,0.005528472451171732,-0.004090195835038863,760.6862429870052,722.7618466126041,0.14299578619892422,5.113006196885139,14.348987233628815,0.01970514318085385,75063972,0.602255952996705,20.962259886781418,0.00971074201171572,-0.03904021142985464,0.15081301993259633,0.6102126209108822,0.06297078071889374,1,PHARMA,SUNPHARMA.NS
2021-09-28,731.6680508024845,754.8577265817052,720.4549303380912,739.6842041015625,4938824,0.01579177074444238,-0.008062458660695326,741.1466888427734,726.2550573730468,736.3893360753494,734.9269958496094,-0.001973272987962016,0.01849095106764631,0.004474355975567779,0.00647303511616637,53.418460692582926,1.3078516647782408,3.4821703517531533,-2.1743186869749125,0.001768121662631403,0.004707644603527363,-0.00293952294089596,759.612498378909,722.6808793066378,0.46040019966768875,4.983037720904639,15.781402162913466,0.021335324014498756,80002796,0.7134432592322882,20.223001954561102,0.009284061647578744,-0.023864954754127095,0.16898639531309126,0.7252141399244287,0.025480514623913254,0,PHARMA,SUNPHARMA.NS
2021-09-29,748.177563632706,782.2940788111106,736.1055426556555,774.2301635742188,18565413,0.046703659860651614,0.03926219436361289,741.9697814941406,728.6314624023438,739.9932244085751,737.851953125,0.04347937461161,0.06258129592912876,0.046266557633695804,0.04930285851402472,67.81544305412892,4.252861820801854,3.6363086455628935,0.6165531752389608,0.005493020061590728,0.0046966765396687,0.0007963435219220275,764.3734373168022,719.5661256714791,1.2199803089156178,6.038967187463142,17.953340305237866,0.023188634530017033,98568209,1.203710664852605,21.21682627863699,0.014005092717731695,0.0,0.22358233830152321,2.7590756422986527,-0.005916442799665462,0,PHARMA,SUNPHARMA.NS
2021-09-30,777.5702352393367,794.8909507089941,769.7448970995345,780.8626098632812,10478553,0.008566504640485695,0.04762825400818338,743.3893188476562,731.1281420898438,743.8855468328328,741.4019836425781,0.05040870250020979,0.0680242831732305,0.04970800036091849,0.05322433321101916,69.74858814456343,7.040824332816101,4.317211783013535,2.7236125498025654,0.0090167261742099,0.005528772575971363,0.0034879535982385353,771.2161966174856,715.5624410778269,1.1733290620238852,7.486488456133432,18.46710554125371,0.02364962197957853,109046762,1.461306101475341,22.681345807486455,0.01396016083682409,0.0,0.2340641620805995,-0.43558740115288574,-0.009226919004290643,0,PHARMA,SUNPHARMA.NS
2021-10-01,774.8982396385325,792.743814195734,768.504363204068,788.8311157226562,5730355,0.010204747619776855,0.07364581093838307,745.1380889892578,734.0278552246094,748.1660772032922,746.8129028320312,0.05863748931780677,0.07466100926275776,0.05435295686136077,0.05626337296970285,71.93004426490401,9.780552416961882,5.409879909803205,4.370672507158677,0.012398791353459502,0.006858096494896958,0.0055406948585625445,779.0966613705815,711.179516607934,1.1433283802800325,9.11470581979961,18.879415930568875,0.02393340672581513,114777117,1.5834942579309919,23.919135528252465,0.014081628550465287,0.0,0.2466574754012433,-0.4531348937205356,-0.0340552369587957,0,PHARMA,SUNPHARMA.NS
2021-10-04,792.0758196023794,800.5691860267767,788.6880370834707,793.9844360351562,4007435,0.006532856285440758,0.09980193888030153,747.1707733154296,736.8240942382813,752.5297304253744,754.0179443359375,0.06265456893074095,0.0775766458288345,0.055087133349999595,0.05300469570975164,73.27236497316716,12.226694816455506,6.773242891133666,5.45345192532184,0.015399161824267963,0.008530699827009908,0.006868461997258055,787.1761054919854,707.1654411388739,1.0850927885453325,10.708484219488296,18.37953971719296,0.02314848866430317,118784552,1.6534148723550492,25.393081524007993,0.014091743482453406,0.0,0.25480170952521003,-0.3006654910559643,-0.04885829349891353,0,PHARMA,SUNPHARMA.NS
2021-10-05,790.1670760968922,796.2746709981101,777.7133675250682,783.009765625,2987134,-0.013822273979272715,0.07325044876912568,748.9004577636719,739.2732958984375,755.4325909205768,759.3620666503906,0.04554584992935329,0.05916143592527523,0.036505142928527023,0.031141533154166234,66.03053369690727,13.128380312496915,8.044270375406317,5.084109937090599,0.01676656012331828,0.010273524965535217,0.00649303515778306,791.8543386973384,705.9465768300053,0.8970457048340165,11.471185653146287,18.392522842610738,0.023489519096776258,115797418,1.5313116563572668,25.701777197769022,0.014434181604316058,-0.0138222739792727,0.2374574965064928,-0.2546020085166696,-0.0363801630577125,0,PHARMA,SUNPHARMA.NS
2021-10-06,782.9620937364487,786.34987584842,760.8698378822181,764.01904296875,2910453,-0.024253494004754295,0.039605142843380126,750.3653137207032,741.1637451171875,756.2503482584981,762.2726989746094,0.01819610927955151,0.030837042424341377,0.010272649431688485,0.0022909701429549845,55.76054648884068,12.170288448640463,8.869473990053146,3.3008144585873165,0.015929299878901387,0.011608969791628515,0.004320330087272873,793.283384904909,707.4472425364974,0.6590673680259833,11.439247097229375,18.898773922867242,0.02473599852882233,112886965,1.4156608827756765,24.644381675415662,0.014935533058531325,-0.03774052954493863,0.20744482853383434,-0.0256704252303378,-0.03728444102457259,0,PHARMA,SUNPHARMA.NS
2021-10-07,771.1286602835597,788.5924871298922,767.3591315819615,785.6341552734375,4089061,0.02829132664114975,0.0693641162289198,752.5506774902344,743.7739428710937,759.0488060694447,767.368701171875,0.0439617939000958,0.056280826726405886,0.03502455835700302,0.023802709276086853,62.84413273843675,13.00523639216226,9.69662647047497,3.3086099216872906,0.016553807271319342,0.012342419694189708,0.004211387577129636,797.9091869313406,707.1921680491282,0.8646887672329586,12.054605968166127,19.304107511315458,0.02457136999675978,116976026,1.5108675788177977,23.792194827386556,0.01597573625182999,-0.010516932552754743,0.24160504457905205,0.4049568915904156,-0.046219379839541073,0,PHARMA,SUNPHARMA.NS
