Date,Open,High,Low,Close,Volume
2021-06-21,3390.169072153912,3440.974476572552,3372.3707764893256,3436.171875,231475
2021-06-22,3437.2546005152035,3451.3803043529374,3405.2363384830073,3438.10205078125,235555
2021-06-23,3439.1381399050592,3469.555535810207,3419.362153886985,3446.0126953125,378997
2021-06-24,3446.012814905078,3488.907917762669,3438.196545606468,3474.075927734375,385390
2021-06-25,3493.6631347192574,3493.6631347192574,3432.451751734696,3456.135986328125,176772
2021-06-28,3456.1361116921375,3470.2146843071487,3430.662712328614,3453.499267578125,181793
2021-06-29,3441.9632006972643,3453.358027197307,3399.633220449184,3443.98779296875,357263
2021-06-30,3460.7975812507702,3474.9232856640388,3421.1984772301303,3436.925048828125,428387
2021-07-01,3427.8373159007056,3447.613300415517,3371.9465248434403,3386.213623046875,612678
2021-07-02,3398.644584610085,3398.644584610085,3328.95777406391,3338.657470703125,292855
2021-07-05,3356.267318512068,3375.572447588807,3307.6748040912757,3318.175048828125,519061
2021-07-06,3320.482376501892,3327.8749207223673,3304.143552480858,3313.890380859375,282115
2021-07-07,3315.7733356443846,3335.5493197535957,3301.6476327092337,3316.10302734375,524482
2021-07-08,3295.0557967701607,3320.3877999568786,3270.806672229769,3287.898681640625,627227
2021-07-09,3287.5224461950493,3312.94871547241,3265.8630316254457,3273.349609375,595359
2021-07-12,3279.2350692551668,3295.9976174057974,3262.190190951483,3268.122802734375,146119
2021-07-13,3285.403587025013,3286.062740616076,3263.1321505526525,3282.343017578125,182918
2021-07-14,3271.5132337071022,3284.8383899458017,3252.820125712629,3282.578369140625,458955
2021-07-15,3298.822775363543,3298.822775363543,3254.091378894868,3259.129638671875,264604
2021-07-16,3258.3290819801655,3270.2887988134166,3236.763932332435,3240.4365234375,399006
2021-07-19,3239.87127121676,3255.974665212831,3226.4049511068565,3249.052978515625,226731
2021-07-20,3253.620609932393,3264.8740418920165,3226.7817713265836,3233.4208984375,152954
2021-07-22,3248.4412801285016,3248.4412801285016,3215.952158758902,3225.65185546875,389457
2021-07-23,3227.252659992203,3251.266357929116,3225.6517927785203,3239.306640625,247778
2021-07-26,3239.447770691137,3294.1142931504883,3231.019479645319,3279.046875,433827
2021-07-27,3292.2307039230604,3300.564961141774,3234.927340124255,3249.6181640625,210607
2021-07-28,3266.8045784868486,3266.8045784868486,3211.2434743845934,3224.521728515625,352127
2021-07-29,3224.6158335958294,3229.0889734322864,3203.7098365528173,3207.10009765625,321411
2021-07-30,3224.4274248219576,3239.4948426949577,3181.1085984370834,3223.8623046875,988317
2021-08-02,3245.8044479986106,3335.549806388639,3239.542144081276,3300.376708984375,1887580
2021-08-03,3343.083441748799,3370.393137470127,3325.190882483101,3364.93115234375,1326045
2021-08-04,3370.3930402695228,3389.227312637612,3333.6662091517496,3369.73388671875,478788
2021-08-05,3369.7337917659397,3406.837215321349,3340.823230477679,3400.6689453125,497146
2021-08-06,3400.668951245015,3409.00320851181,3380.8460640300327,3393.935791015625,258380
2021-08-09,3408.909094252069,3436.313052985786,3396.054795102765,3424.1650390625,444706
2021-08-10,3424.1646925061254,3431.6041375030195,3400.998447473149,3425.200439453125,249493
2021-08-11,3425.2006201975564,3436.265754869175,3362.9534899060964,3414.1826171875,233115
2021-08-12,3422.5637585962077,3430.615455723565,3397.23175514438,3409.756591796875,232971
2021-08-13,3409.756573816922,3431.6985461961112,3366.720309226215,3370.910888671875,323144
2021-08-16,3361.9176316442795,3459.808716701223,3345.9556317282468,3442.245849609375,348972
2021-08-17,3456.089022396608,3491.4975468518687,3454.2055951364464,3481.04443359375,579154
2021-08-18,3492.627427894358,3512.591710130686,3472.0508938748167,3503.880859375,426843
2021-08-20,3427.8375849920767,3736.248796279139,3423.4115769496098,3668.869140625,1567252
2021-08-23,3682.100115810904,3733.5646712454245,3626.1624208495027,3640.900146484375,645088
2021-08-24,3648.9992305715077,3665.1495277132144,3574.2741604407775,3590.000732421875,437167
2021-08-25,3590.0008521819336,3670.7999320716267,3575.686850199068,3618.8173828125,360778
2021-08-26,3602.2428986213376,3716.896532027557,3602.2428986213376,3701.781982421875,1114234
2021-08-27,3714.7778295029802,3741.3812404043047,3683.7484103807165,3711.8115234375,475524
2021-08-30,3729.1859978723783,3760.7805363364637,3703.0063128142942,3754.000244140625,466524
2021-08-31,3762.145960060487,3792.563356357981,3729.1859829385553,3764.500244140625,688613
2021-09-01,3752.352363380666,3791.244953835968,3732.811804822243,3781.31005859375,352460
2021-09-02,3780.9801061931926,3864.7926166418088,3768.784961048228,3847.93603515625,525680
2021-09-03,3865.7345875656288,3893.7036672920563,3835.740915427478,3883.815673828125,426377
2021-09-06,3902.837968367996,3907.4522732997348,3824.29914173563,3841.297119140625,312608
2021-09-07,3858.106405552347,3888.900624597288,3842.1915374716477,3856.740966796875,259534
2021-09-08,3842.003205359282,3849.6309476009424,3781.639271413575,3824.675537109375,236283
2021-09-09,3822.2272686450383,3878.729855665545,3814.0344061721453,3833.52783203125,295134
2021-09-13,3833.527830190631,3863.850962613629,3822.2272668098453,3855.234375,171201
2021-09-14,3858.2010090749004,3910.9369760039203,3844.4518971613206,3862.438720703125,419441
2021-09-15,3865.92302496565,3893.9859075535514,3833.763366162495,3848.171630859375,218163
2021-09-16,3848.171565717508,3879.860137252938,3804.334750466193,3835.646728515625,243636
2021-09-17,3839.7432174735327,3875.151743350266,3805.4649319267132,3815.6826171875,621517
2021-09-20,3799.8143760185226,3875.15146401889,3766.854400018362,3846.42919921875,291097
2021-09-21,3825.429007815208,3871.902436853491,3816.7652885235907,3838.0009765625,424258
2021-09-22,3844.0753404072857,3865.734755603113,3813.0930515044397,3821.945068359375,259937
2021-09-23,3823.3574823587132,3837.9069125102073,3783.3346515704757,3806.736328125,322858
2021-09-24,3804.523028713412,3860.0372305979563,3795.105892503725,3807.25390625,373614
2021-09-27,3813.845894456797,3827.6892685875614,3766.854476822655,3775.89501953125,248898
2021-09-28,3771.751205945606,3831.785447009821,3757.4843370922104,3770.29150390625,354948
2021-09-29,3749.903966990946,3785.5948243860735,3728.385716903728,3741.193115234375,332446
2021-09-30,3740.4865746611463,3760.262561083071,3710.634298282543,3718.780029296875,217501
2021-10-01,3728.056025244947,3728.056025244947,3658.5575122350497,3692.553466796875,181917
2021-10-04,3682.1002208924274,3736.01332514974,3654.790526159466,3665.996826171875,372752
2021-10-05,3667.0326763697817,3677.6269541327915,3640.193839370157,3655.92041015625,131731
2021-10-06,3666.091213169237,3760.4037425764245,3655.967791504308,3709.033447265625,409840
2021-10-07,3728.997692140073,3732.6231516829334,3651.4474824524536,3673.248291015625,187556
2021-10-08,3686.808818711584,3699.992809378752,3622.6311275352696,3656.95654296875,316870
2021-10-11,3653.8490320256096,3673.3895906376024,3607.8933590427623,3616.74560546875,253051
2021-10-12,3598.287811374058,3648.9049194246613,3592.6375295451535,3642.501220703125,253262
2021-10-13,3645.7498847230777,3667.1269670528145,3629.8350170845633,3657.3330078125,174222
2021-10-14,3683.983547986856,3696.225824603377,3654.7904268243838,3667.833251953125,299078
2021-10-18,3729.1858967923345,3729.1858967923345,3602.0545594016867,3613.684814453125,256837
2021-10-19,3635.3445097307235,3642.878219198034,3559.677723304197,3574.65087890625,282932
2021-10-20,3578.511925899621,3689.0221164176146,3522.0091060169957,3542.726806640625,523002
2021-10-21,3577.099111422404,3577.099111422404,3465.5060497655513,3497.85400390625,335589
2021-10-22,3516.3587401020495,3540.8432948001355,3437.254794154387,3474.92333984375,192033
2021-10-25,3474.923397984546,3481.0916684264957,3406.837454529729,3419.409423828125,289025
2021-10-26,3436.312956569507,3489.0960502950315,3395.678106336967,3477.56005859375,326825
2021-10-27,3485.1877163352365,3513.721683955723,3466.8714330808284,3482.315673828125,441016
2021-10-28,3507.8831136030076,3511.3674078948134,3441.021448887353,3467.295166015625,193658
2021-10-29,3466.447902851459,3492.7687530618764,3428.826488980564,3461.50390625,283538
2021-11-01,3478.68992390796,3484.3402053219957,3438.2905037618207,3463.763671875,139766
2021-11-02,3465.694479709963,3491.4975713011972,3453.3110373519066,3468.237060546875,151547
2021-11-03,3479.6320961595966,3484.152367868792,3407.1672734544354,3418.279541015625,185296
2021-11-04,3418.279541015625,3418.279541015625,3418.279541015625,3418.279541015625,0
2021-11-08,3452.322480106811,3511.5092790745084,3409.003649205307,3501.009033203125,336938
2021-11-09,3380.7517685296702,3426.8957341725545,3329.0986864529596,3410.510009765625,1399094
2021-11-10,3417.9023645971374,3503.1745766864947,3390.1689451804787,3482.927734375,706755
2021-11-11,3483.4929391342225,3501.291234564642,3421.528137037439,3431.039306640625,298625
2021-11-12,3454.770655301864,3486.1766663734998,3429.01469600207,3472.99267578125,275060
2021-11-15,3484.340426975366,3529.166087675811,3459.855872623647,3524.45751953125,320669
2021-11-16,3532.3678858384346,3540.8433086516966,3466.447930624174,3475.629638671875,199179
2021-11-17,3475.629470438289,3484.2931895792663,3397.5143732725674,3404.341796875,250996
2021-11-18,3432.357953667756,3432.357953667756,3347.792022010115,3363.424560546875,248828
2021-11-22,3379.810141474226,3417.007829016224,3361.9175829097203,3372.841552734375,364653
2021-11-23,3369.262886673338,3456.088832616919,3365.684329093425,3448.6962890625,365672
2021-11-24,3446.6719160027174,3459.855906938247,3399.5862340901117,3412.158203125,149025
2021-11-25,3400.0570523123943,3421.9990258166986,3358.150795885888,3365.119384765625,232784
2021-11-26,3352.5004709009963,3423.223255383381,3327.968785237153,3348.074462890625,372530
2021-11-29,3343.0834885359905,3343.0834885359905,3266.898945507944,3322.930908203125,281082
2021-11-30,3309.1814815600324,3357.208873580397,3297.0334684838026,3338.845458984375,633377
2021-12-01,3343.5542481124808,3396.478508212308,3322.365691407079,3329.193115234375,312855
2021-12-02,3333.6661455240496,3397.0435168151334,3324.2490095197445,3369.922119140625,377041
