Date,Open,High,Low,Close,Volume
2021-06-21,914.1688042373139,918.653777660281,907.0119503419278,916.220458984375,1625660
2021-06-22,912.451208974613,916.936182584478,905.7237776811298,912.1171875,2344400
2021-06-23,912.260304251093,921.8027760528827,910.542670975296,913.9302368164062,1807471
2021-06-24,913.9778859487483,914.8367316594928,900.8092872539419,907.3936157226562,1769651
2021-06-25,907.489052125466,917.0315237566485,905.5328570895985,913.3099365234375,2134441
2021-06-28,917.9857840465171,926.907971852206,913.3099495833256,918.9877319335938,1759671
2021-06-29,919.894224750691,943.7504027784579,916.1249369737794,934.7804565429688,4300755
2021-06-30,946.8040052027499,951.3843797354997,924.808620709947,927.4328002929688,7195632
2021-07-01,932.4903335979059,935.1622139893506,922.947862026586,933.34912109375,2291137
2021-07-02,936.9276460669338,940.6969343809258,930.4864770816438,934.39892578125,1421148
2021-07-05,934.4942500512104,938.8360630639063,928.5779058972851,930.104736328125,1286458
2021-07-06,930.3909455845526,930.3909455845526,920.6099125668687,924.7608642578125,1157576
2021-07-07,923.7111868549043,924.6177332425939,917.0314571978957,921.039306640625,1740439
2021-07-08,921.3255754408381,923.71119319185,901.5726488139344,907.155029296875,1662518
2021-07-09,908.4432368270291,921.4209740560811,906.4870419256631,915.8863525390625,1301555
2021-07-12,916.0774255315117,923.6637033602213,912.1172758636708,915.9342651367188,1122802
2021-07-13,918.1765858043569,925.4765412893514,912.3079427494009,921.46875,1317621
2021-07-14,917.1270336498117,933.6355581184157,917.1270336498117,932.4427490234375,1729994
2021-07-15,934.2080119051157,936.1165063114591,927.5759821945468,929.0550537109375,979315
2021-07-16,929.055124599594,944.6094017922155,929.055124599594,932.4427490234375,2087320
2021-07-19,927.6237355273531,938.5975789863395,926.8126486556976,929.4368286132812,854347
2021-07-20,927.5283225738758,929.5322184922613,909.0636616715403,911.4492797851562,1520300
2021-07-22,914.2642336964826,915.0753787750774,903.3381496752254,906.439453125,1783069
2021-07-23,908.4434541468881,913.882675552387,903.6245168002032,904.62646484375,1056183
2021-07-26,904.6263127246118,916.0772787084677,903.6720655592904,907.0596313476562,1306026
2021-07-27,908.9204205082408,914.6459034720723,867.4106690204629,871.3230590820312,3366104
2021-07-28,879.4342850852773,879.4342850852773,846.0833886694417,849.1846923828125,5094903
2021-07-29,853.4308978942665,858.7747167708195,832.1034978239248,842.6956176757812,4929314
2021-07-30,844.6041873227676,887.3545091804197,837.5904935843927,877.9551391601562,6280365
2021-08-02,885.8276549211928,890.8851533801969,871.6094067342805,878.9093627929688,2981630
2021-08-03,882.6786074791492,887.0204203322787,876.4760010482146,885.6845092773438,2014511
2021-08-04,885.6846039456244,899.3780286174429,884.5871963165724,896.658447265625,2517694
2021-08-05,901.0001554626884,909.3975185923514,889.3583287807676,902.145263671875,4022548
2021-08-06,896.0381280524696,896.0381280524696,867.4107118207612,869.60546875,9727673
2021-08-09,875.1705958661412,882.7507617019868,861.0658207640166,881.4554443359375,3310964
2021-08-10,882.750800927606,886.3969338273432,868.3581248255254,875.650390625,2552532
2021-08-11,875.9382151199125,876.9936545170578,854.9728502756406,873.0116577148438,2174054
