Date,Open,High,Low,Close,Volume
2021-06-21,721.9854260869652,737.8193376750755,717.5041372353909,736.4749145507812,6464497
2021-06-22,740.1098463496678,745.8857182600254,733.985393242325,736.2758178710938,6727233
2021-06-23,740.1097309269995,740.6574318295579,727.7612667426051,729.3048095703125,6154147
2021-06-24,732.8401127947354,739.8607863617929,728.0600228260957,736.0765991210938,5313822
2021-06-25,734.4832382322553,762.765174701314,734.4832382322553,758.1842651367188,11170037
2021-06-28,761.3709431359562,766.3999327771132,754.5992300996496,759.2299194335938,7672743
2021-06-29,757.8357834922856,760.3751685080283,746.9313011267592,748.8234252929688,7500655
2021-06-30,749.3710860481526,757.3378218466712,743.4458141417304,745.1885375976562,5459970
2021-07-01,746.881479287091,751.2632082781234,741.4043484389857,743.3462524414062,5695690
2021-07-02,744.4914419215504,749.7196123304977,740.906435096535,747.52880859375,3557647
2021-07-05,753.9519899078753,758.8316402535518,750.2674229569409,757.1884765625,4680089
2021-07-06,753.8524149189935,763.8108351953342,752.0599114255269,755.19677734375,5529485
2021-07-07,752.7570110976264,760.8233071885155,749.1221633934041,759.7279052734375,3573368
2021-07-08,756.8399356315366,763.9602303911458,748.5744590170984,751.2632446289062,4188267
2021-07-09,748.87318227768,749.7694643881675,737.1720388045912,744.2424926757812,5782119
2021-07-12,749.3710898339368,754.6490401708452,745.1885413623104,750.4664916992188,4475466
2021-07-13,755.8440834661602,769.7858715669853,751.860715437353,767.5452270507812,9810976
2021-07-14,767.7443655660431,770.2339704477143,760.8232518387233,766.8480834960938,5621924
2021-07-15,767.2963045250137,775.014080462806,763.3129362990566,770.93115234375,4239868
2021-07-16,772.7734130345415,772.7734130345415,763.3626937221115,767.943603515625,2913553
2021-07-19,749.1719094335947,763.4622783161013,746.4831239311917,752.0598754882812,5554486
2021-07-20,751.8607084023005,752.0598889581516,741.1056269814294,742.649169921875,5815740
2021-07-22,746.9810046367934,755.3461011306155,737.9188674196257,743.6449584960938,7876163
2021-07-23,745.8856809298028,760.8233113890111,737.0226625447896,752.2590942382812,6604465
2021-07-26,750.8648490515743,756.8399009007911,741.9022712777492,753.1552734375,7890992
2021-07-27,747.3794099401135,752.8565408590617,726.0683671429302,728.6575927734375,15441543
2021-07-28,731.744709733993,731.744709733993,709.1390835508959,719.8942260742188,11102486
2021-07-29,717.0062045246601,725.470861105854,713.0228367217453,714.2676391601562,6855673
2021-07-30,715.0643100797221,715.6618517269321,704.2096691411597,705.952392578125,10358450
2021-08-02,712.0269760739487,722.5330962219831,709.0394503002119,718.1514282226562,6823345
2021-08-03,720.9896008849354,737.7695141067945,716.30913137485,735.5288696289062,9265839
2021-08-04,737.4209636413293,753.8523558088943,735.5786803472105,750.6656494140625,9744349
2021-08-05,749.8690147078194,751.8606986778268,740.4085158502837,746.1843872070312,7246991
