Date,Open,High,Low,Close,Volume
2021-06-21,998.0046654296643,1017.9329709190221,996.4873942658087,1013.2905883789062,12186448
2021-06-22,1020.877007795391,1024.047523693767,1005.1834033496904,1008.0820922851562,12871913
2021-06-23,1019.0653658677555,1019.3370730246654,997.1894056266616,998.8425903320312,16653951
2021-06-24,999.5218896905816,1003.0319792586279,969.2443347205035,975.3587036132812,91461975
2021-06-25,975.3587188779936,975.3587188779936,942.5674531142881,953.14306640625,55355022
2021-06-28,961.0918688993542,963.1299720367883,942.5222185353294,944.7868041992188,20277042
2021-06-29,946.3720075153033,955.2039275943256,943.9262837366043,945.60205078125,27144063
2021-06-30,949.4291224770184,961.3861531398231,947.0739679222726,955.951171875,19762858
2021-07-01,959.280142195751,961.6126545352091,948.863024683412,950.1991577148438,12534407
2021-07-02,949.7688855828178,966.0286658416347,947.9345627995748,964.284912109375,14086620
2021-07-05,967.6364952540457,975.3814069298204,965.3945518663345,973.8641357421875,11702287
2021-07-06,971.4863144110957,973.2752927037599,960.2765977537204,962.3599853515625,10070124
2021-07-07,963.6961219133111,963.6961219133111,950.2218196134942,955.679443359375,10454892
2021-07-08,958.8045791709611,958.8045791709611,942.5221577829742,947.7760009765625,11185460
2021-07-09,945.6925548959384,947.3683817256788,935.7736870853545,938.0835571289062,9037675
2021-07-12,941.9559723923293,951.8069732106677,939.5781755914345,943.9262084960938,8585292
2021-07-13,951.1276138236502,952.5090313833667,945.7152147930674,950.9917602539062,6717133
2021-07-14,951.2861518765445,954.2301252196338,942.6354298484742,944.7868041992188,8532544
2021-07-15,948.8630578642602,948.8630578642602,941.3899132919198,943.1336669921875,9448356
2021-07-16,945.5793426478567,957.8081403899708,945.5114158643191,956.7437744140625,8828185
2021-07-19,951.1276470202398,961.9976700838799,947.6175572445412,950.652099609375,8354449
2021-07-20,950.9011562369292,954.7509997157346,943.8809767465054,948.3195190429688,6741464
2021-07-22,959.7329730544459,961.9522739144625,950.2896532195613,960.5029296875,7972397
2021-07-23,966.7306251488294,966.7306251488294,952.0560439551456,953.709228515625,9937030
2021-07-26,954.750983452507,960.6388700312618,938.0382987131833,940.642578125,12389668
2021-07-27,940.6199818363403,943.7450933231961,924.8584510240973,930.746337890625,10824523
2021-07-28,932.1050710097164,932.1050710097164,913.1957274047861,922.7523193359375,12897848
2021-07-29,930.2933070796137,939.5328466147575,925.4923692829198,929.95361328125,13765738
