Date,Open,High,Low,Close,Volume,DailyReturn,Momentum_10_Pct,SMA_20,SMA_50,EMA_20,RollingMean_10,Price_to_SMA20,Price_to_SMA50,Price_to_EMA20,Price_to_RollingMean10,RSI_14,MACD,MACD_Signal,MACD_Diff,MACD_Norm,MACD_Signal_Norm,MACD_Diff_Norm,BB_High,BB_Low,BB_PctB,BB_Width,ATR_14,ATR_Pct,OBV,OBV_Zscore,ADX_14,Volatility_20,Dist_From_52w_High,Dist_From_52w_Low,VolumeChange,FutureReturn,Target,Sector
2021-09-15,111.40310647022083,111.79046570593512,110.37772268006992,110.80716698637934,24518377,-0.0016811938408817229,0.024458238480152827,108.23690890070637,103.06632015399538,108.23270545969315,110.54199382688792,0.023746595424587236,0.07510549344167972,0.023786354741404336,0.0023988454551189253,73.78152532558924,2.465675195346961,2.4372975765400327,0.02837761880692824,0.02225194689482538,0.02199584776713613,0.00025609912768924484,113.54034117124911,102.93347663016363,0.7423202517310493,9.79967429670034,1.9444608775757075,0.017548150814240427,324429375,1.8011824826376623,53.354929288315375,0.009114063881672138,-0.0038631514742781528,0.12781313911882852,-0.025446900133691885,-0.0640694490513305,0,FMCG
2021-09-16,110.87446581459042,113.32790892381816,110.25564842476145,112.12888496331394,158630360,0.011928091051159662,0.03128441550758332,108.7090314271605,103.31565109551822,108.6037701743237,110.88214117856371,0.031458780298717626,0.08530395709017635,0.032458493690706636,0.011243864625074984,77.59863848015866,2.4744787696131,2.4447338151546463,0.0297449544584536,0.022068165311932727,0.021802890628534372,0.0002652746833983543,113.61848529720308,103.79957755711791,0.8482926641821952,9.03228334498062,2.025017993395779,0.01805973540233027,483059735,2.826830861873481,54.395590813783166,0.009072321477207502,0.0,0.1412657969309322,5.469855651538436,-0.07792832824820212,0,FMCG
2021-09-17,112.5527280249246,113.96912353942224,111.32102414598992,112.32986316673964,91141928,0.0017923856416788286,0.015054006941244147,109.17336782209483,103.5769867318219,108.9586361736014,111.0487347320355,0.028912686377766894,0.08450599608173959,0.03094042942834685,0.011536632432558092,78.1202706933158,2.4692094178770816,2.4496289356991334,0.019580482177948166,0.021981771794841846,0.021807459447030265,0.00017431234781158228,113.58266626873512,104.76406937545454,0.8579362321289379,8.077608183390538,2.0695238076841034,0.018423629739601426,574201663,3.156649402647721,55.54283126497051,0.009089586051213253,0.0,0.1433113853586904,-0.4254446122419441,-0.07239736975469231,0,FMCG
2021-09-20,112.17912027475134,114.56295782648796,111.39093376482086,113.25904300086528,80699406,0.008271886103398796,0.022874190208410417,109.52080819886226,103.84533361280772,109.36819872857892,111.30201210644029,0.034132644412332436,0.09065125086079484,0.035575645548870494,0.017583068422459824,80.3934170509304,2.5110644775824937,2.4619160440758057,0.04914843350668807,0.02217098441811229,0.02173703731592538,0.0004339471021869096,114.06592607246453,104.97569032525998,0.9112362875905179,8.300007913289843,2.148273825825746,0.01896779072916353,654901069,3.3059125649206256,56.76217872185863,0.006529091776764703,0.0,0.1527687269190965,-0.11457429340314151,-0.08138015155337856,0,FMCG
2021-09-21,113.27289374922437,114.96419831945052,112.47042675332872,114.11223899745144,64509487,0.007533137963912084,0.03563117728825427,109.90357733540623,104.14390938883894,109.82001208751916,111.69461842301762,0.03829412803553356,0.09571687549575336,0.03908419629850046,0.021644915471913384,82.22004396929661,2.58330200297587,2.4861932358558185,0.09710876712005145,0.022638255332397474,0.02178726188968516,0.000850993442712313,114.63757508618158,105.16957958463087,0.9445145396780026,8.614820127879982,2.1729522358468922,0.019042236441398915,719410556,3.297183839618486,57.99310184594943,0.006583989850566606,0.0,0.1614526927794613,-0.2006200516519291,-0.09054275827970136,0,FMCG
2021-09-22,114.54327649366556,114.9897897071015,113.02132441253876,113.59059135474484,59516988,-0.004571355774714458,0.02546562473978975,110.32186381562238,104.43435933382,110.17911487487399,111.97670056245013,0.02962900939187718,0.08767451707782636,0.030963004955568252,0.01441273750868044,77.46796948971271,2.568846098347649,2.502723808354185,0.06612228999346392,0.02261495488059491,0.022032844256776048,0.0005821106238188617,114.79976722647712,105.84396040476764,0.8649841498589331,8.117889339394269,2.1583460257551663,0.01900109859464174,659893568,2.7193817494946733,59.142515269361,0.005890030845421656,-0.004571355774714467,0.15614327930526625,-0.0773917020918179,-0.07987964658573392,0,FMCG
2021-09-23,114.00541945094858,114.4663050690954,112.77573841138954,113.26269877678628,26562670,-0.0028866174042051496,0.027674285277056843,110.68730666297427,104.72210192602343,110.47278953219897,112.28170617386843,0.02326727599989109,0.08155486467217776,0.025254266289475247,0.008736887212942523,74.55121884395872,2.502088974846231,2.5025968416525943,-0.0005078668063633884,0.022091023804555906,0.022095507776877316,-4.483972321410711e-06,114.86237599152045,106.51223733442808,0.8084250716752529,7.5438990330817735,2.1249332137516443,0.018761103493917092,633330898,2.4040826032311466,59.781416620713394,0.0060272433345672375,-0.0074447774237795415,0.1528059359934688,-0.5536959968471522,-0.0696927412124138,0,FMCG
2021-09-24,113.44668625974911,114.25844332645276,112.32383579424044,112.76398569705432,31042550,-0.004403153775408453,0.015014703319111256,110.98637536547612,104.99958661359149,110.69099869075663,112.44851339200875,0.0160164734249999,0.07394694906787169,0.01872769268338703,0.0028054822205234586,70.22064170006067,2.3814891711574404,2.4783753075535637,-0.09688613639612331,0.021119235511552613,0.02197842948024056,-0.0008591939686879498,114.8446944387893,107.12805629216294,0.7303607215734685,6.952779673374877,2.1113385222131216,0.01872351805553708,602288348,2.1178710821654865,59.607360411826846,0.006168948128341641,-0.0118151506993674,0.1477299541840859,0.16865322650170333,-0.07343289907615451,0,FMCG
2021-09-27,113.19472474201834,113.48462767251904,110.90712351670652,111.40131568648307,27874743,-0.012084266108082775,0.0014781403371959545,111.2031290932243,105.25500739476125,110.75864792844486,112.46495576570624,0.0017822033864949294,0.05839445023902723,0.005802416064643712,-0.009457524541591433,59.970027222222726,2.151159646955037,2.4129321754338586,-0.2617725284788217,0.019310002163789964,0.02165981757544568,-0.002349815411655717,114.61775088327258,107.78850730317603,0.5290202847408126,6.141233287034057,2.144636067470221,0.019251442895933783,574413605,1.883974164369027,57.45109571985381,0.007004324701182535,-0.023756639382291972,0.1338604799975077,-0.10204725449423457,-0.05792712766282118,0,FMCG
2021-09-28,111.69529233784333,112.49493463623692,110.42608844415982,111.03865635155834,20811998,-0.0032554313446832017,0.00040441301081628467,111.37344690320215,105.500828876385,110.78531539731281,112.46944449813766,-0.0030060176905073455,0.05249084328675746,0.00228677377806763,-0.01272157209421454,57.56172092183229,1.9172573132759112,2.3137972030022693,-0.3965398897263581,0.017266575229492175,0.020837762982979367,-0.003571187753487193,114.37325618623086,108.37363762017344,0.444198027264955,5.3869380295573155,2.139222504942141,0.0192655654817109,553601607,1.7053770143413416,54.88549062379098,0.007054242101122651,-0.02693473261848575,0.13016927505042622,-0.25337435398059094,-0.06225277950628202,0,FMCG
